french,wolof
"Alors Hérode fit appeler en secret les mages, et s`enquit soigneusement auprès d`eux depuis combien de temps l`étoile brillait.","Ci kaw loolu Erodd woolu ci kumpa boroom xam-xam ya, di leen ceddowu, ngir xam bu wóor kañ la biddiiw bi feq."
"Puis il les envoya à Bethléhem, en disant: Allez, et prenez des informations exactes sur le petit enfant; quand vous l`aurez trouvé, faites-le-moi savoir, afin que j`aille aussi moi-même l`adorer.","Noonu mu yebal leen Betleyem naan: «Demleen fa, seet bu wóor mbirum xale ba. Bu ngeen ci amee lu wóor nag, ngeen xamal ma ko, ngir man itam ma dem màggal ko.»"
"Après avoir entendu le roi, ils partirent. Et voici, l`étoile qu`ils avaient vue en Orient marchait devant eux jusqu`à ce qu`étant arrivée au-dessus du lieu où était le petit enfant, elle s`arrêta.","Ba ñu dégloo buur ba nag, ñu dem. Te biddiiw, ba ñu gisoon ca penku ba, ne tell jiite leen, ba àgg, tiim fa xale ba nekk."
"Quand ils aperçurent l`étoile, ils furent saisis d`une très grande joie.","Ba ñu gisee biddiiw ba nag, ñu am mbég mu réy-a-réy."
"Ils entrèrent dans la maison, virent le petit enfant avec Marie, sa mère, se prosternèrent et l`adorèrent; ils ouvrirent ensuite leurs trésors, et lui offrirent en présent de l`or, de l`encens et de la myrrhe.","Ñu dugg ca kër ga, gis xale ba ak Maryaama ndeyam, ñu daldi sukk, di ko màggal. Ñu ubbi seeni boyetu alal, may ko wurus ak cuuraay ak ndàbb lu xeeñ lu ñuy wax miir."
"Puis, divinement avertis en songe de ne pas retourner vers Hérode, ils regagnèrent leur pays par un autre chemin.","Bi ñu ko defee Yàlla artu na leen ci biir gént, ñu bañ a dellu ca Erodd. Noonu ñu jaar weneen yoon, ñibbi seen réew."
"Lorsqu`ils furent partis, voici, un ange du Seigneur apparut en songe à Joseph, et dit: Lève-toi, prends le petit enfant et sa mère, fuis en Égypte, et restes-y jusqu`à ce que je te parle; car Hérode cherchera le petit enfant pour le faire périr.","Bi nga xamee ne boroom xam-xam ya ñibbi nañu, benn malaakam Boroom bi feeñu Yuusufa ci gént ne ko: «Erodd mu ngi ci tànki wut xale bi, ngir rey ko; jógal nag, jël xale bi ak ndeyam te nga daw jëm Misra, toog fa, ba kera ma koy wax.»"
"Joseph se leva, prit de nuit le petit enfant et sa mère, et se retira en Égypte.","Yuusufa nag jóg, jël xale ba ak ndeyam, làquji Misra ca guddi ga."
"Il y resta jusqu`à la mort d`Hérode, afin que s`accomplît ce que le Seigneur avait annoncé par le prophète: J`ai appelé mon fils hors d`Égypte.","Mu toog fa, ba Erodd faatu. Noonu am li Boroom bi waxoon jaarale ko cib yonent, bi mu naan:«Woo naa sama doom, mu génn Misra.»"
"Alors Hérode, voyant qu`il avait été joué par les mages, se mit dans une grande colère, et il envoya tuer tous les enfants de deux ans et au-dessous qui étaient à Bethléhem et dans tout son territoire, selon la date dont il s`était soigneusement enquis auprès des mages.","Bi Erodd gisee nag, ne boroom xam-xam ya nax nañu ko, mu daldi mer lool. Mu santaane ñu dugg ca Betleyem ak la ko wër, rey xale yu góor ya fa am ñaari at jëm suuf, mengook jamono, ja ko boroom xam-xam ya waxoon."
"Alors s`accomplit ce qui avait été annoncé par Jérémie, le prophète:","Booba am la ñu waxoon jaarale ko ci yonent Yàlla Yeremi, bi mu naan:"
"On a entendu des cris à Rama, Des pleurs et de grandes lamentations: Rachel pleure ses enfants, Et n`a pas voulu être consolée, Parce qu`ils ne sont plus.","«Baat jib na ci Rama,ay jooy ak yuux gu réy,Rasel mooy jooy ay doomamte bëggul kenn dëfël ko,ndaxte saay nañu.»"
"Quand Hérode fut mort, voici, un ange du Seigneur apparut en songe à Joseph, en Égypte,","Bi nga xamee ne Erodd faatu na, benn malaakam Boroom bi feeñu Yuusufa ci gént ca Misra,"
"et dit: Lève-toi, prends le petit enfant et sa mère, et va dans le pays d`Israël, car ceux qui en voulaient à la vie du petit enfant sont morts.","ne ko: «Ñi doon wut a rey xale ba dee nañu; jógal nag, jël xale bi ak ndeyam te nga dellu Israyil.»"
"Joseph se leva, prit le petit enfant et sa mère, et alla dans le pays d`Israël.","Yuusufa jóg nag, jël xale ba ak ndeyam, dellu Israyil."
"Mais, ayant appris qu`Archélaüs régnait sur la Judée à la place d`Hérode, son père, il craignit de s`y rendre; et, divinement averti en songe, il se retira dans le territoire de la Galilée,","Waaye bi mu déggee ne, Arkelawus moo donn Erodd baayam ca nguuru Yude, mu ragal faa dem. Yàlla artu ko nag ci gént, mu daldi dem diiwaanu Galile."
"et vint demeurer dans une ville appelée Nazareth, afin que s`accomplît ce qui avait été annoncé par les prophètes: Il sera appelé Nazaréen.","Mu ñëw nag dëkk ci dëkk bu ñuy wax Nasaret. Noonu am la ñu waxoon ca xale ba, jaarale ko ca yonent ya, bi ñu naan:«Dees na ko tudde Nasaréen.»"
"En ce temps-là parut Jean Baptiste, prêchant dans le désert de Judée.","Ca jamono jooja Yaxya feeñoon na, di waare ca màndiŋu Yude."
"Il disait: Repentez-vous, car le royaume des cieux est proche.","Nii la doon waaree: «Tuubleen seeni bàkkaar, ndaxte nguuru Yàlla Aji Kawe ji jege na.»"
"Jean est celui qui avait été annoncé par Ésaïe, le prophète, lorsqu`il dit: C`est ici la voix de celui qui crie dans le désert: Préparez le chemin du Seigneur, Aplanissez ses sentiers.","Yaxya mooy ki ñu doon wax jaarale ko ci yonent Yàlla Esayi, bi mu naan:«Am na baat buy xaacu ca màndiŋ ma ne:“Xàll-leen yoonu Boroom bi,jubal-leen fi muy jaar.”»"
"Jean avait un vêtement de poils de chameau, et une ceinture de cuir autour des reins. Il se nourrissait de sauterelles et de miel sauvage.","Yaxya nag mu ngi soloon mbubb mu ñu ràbbe kawaru giléem, takk geñog der ci ndiggam. Ay njéeréer la doon dunde ak lem."
"Les habitants de Jérusalem, de toute la Judée et de tout le pays des environs du Jourdain, se rendaient auprès de lui;","Noonu ñépp génn jëm ci moom, ñi dëkk Yerusalem ak diiwaanu Yude, ak waa dexu Yurdan."
"et, confessant leurs péchés, ils se faisaient baptiser par lui dans le fleuve du Jourdain.","Ñu nangu seeni bàkkaar, Yaxya sóob leen ca dexu Yurdan."
"Mais, voyant venir à son baptême beaucoup de pharisiens et de sadducéens, il leur dit: Races de vipères, qui vous a appris à fuir la colère à venir?","Noonu ay Farisen ak ay Sadusen yu bare ñëw ci Yaxya, ngir mu sóob leen ñoom itam ca dex ga. Waaye bi leen Yaxya gisee, mu ne leen: «Yéen ñi fees ak daŋar mel ni ay co, ku leen artu, ngeen daw merum Yàlla mi nar a wàcc?"
"Produisez donc du fruit digne de la repentance,","Jëfeleen nag ni ñu tuub seeni bàkkaar,"
et ne prétendez pas dire en vous-mêmes: Nous avons Abraham pour père! Car je vous déclare que de ces pierres-ci Dieu peut susciter des enfants à Abraham.,"te buleen wax ci seen xel naan: “Nun daal doomi Ibraayma lanu,” ndaxte maa ngi leen koy wax, Yàlla man na sàkkal Ibraayma ay doom ci doj yii."
Déjà la cognée est mise à la racine des arbres: tout arbre donc qui ne produit pas de bons fruits sera coupé et jeté au feu.,"Sémmiñ wi tiim na reeni garab yi. Garab nag gu meññul doom yu baax, dees na ko gor, sànni ko ci safara si."
"Moi, je vous baptise d`eau, pour vous amener à la repentance; mais celui qui vient après moi est plus puissant que moi, et je ne suis pas digne de porter ses souliers. Lui, il vous baptisera du Saint Esprit et de feu.","Man maa ngi leen di sóob ci ndox, ci lu ànd ak tuub seeni bàkkaar. Waaye kiy ñëw sama gannaaw moo ma ëpp kàttan, ba yeyoowuma koo yóbbul sax ay dàllam. Kooku dina leen sóob ci Xel mu Sell mi ak safara."
"Il a son van à la main; il nettoiera son aire, et il amassera son blé dans le grenier, mais il brûlera la paille dans un feu qui ne s`éteint point.","Layoom mu ngi ci loxoom, ngir jéri dàgga ja, ba mu set; pepp ma dina ko def ca sàq ma, waaye xatax ba dina ko lakk ci safara su dul fey mukk.»"
"Alors Jésus vint de la Galilée au Jourdain vers Jean, pour être baptisé par lui.","Booba Yeesu jóge Galile, ñëw ngir Yaxya sóob ko ca dexu Yurdan."
"Mais Jean s`y opposait, en disant: C`est moi qui ai besoin d`être baptisé par toi, et tu viens à moi!","Waaye Yaxya gàntu ko ne: «Man maa soxla, nga sóob ma ci ndox, te yaa ngi ñëw ci man!»"
"Jésus lui répondit: Laisse faire maintenant, car il est convenable que nous accomplissions ainsi tout ce qui est juste. Et Jean ne lui résista plus.","Yeesu tontu ko: «Bàyyil noonu, ndaxte war nanoo mottali lépp lu jub.» Noonu Yaxya nangu."
"Dès que Jésus eut été baptisé, il sortit de l`eau. Et voici, les cieux s`ouvrirent, et il vit l`Esprit de Dieu descendre comme une colombe et venir sur lui.","Bi ko Yaxya sóobee ca dex ga, Yeesu génn. Ca saa sa asamaan yi daldi ubbiku, te Yaxya gis Xelum Yàlla wàcc ci melow pitax, ñëw ci kaw Yeesu."
"Et voici, une voix fit entendre des cieux ces paroles: Celui-ci est mon Fils bien-aimé, en qui j`ai mis toute mon affection.",Te baat bu jóge asamaan dégtu ne: «Kii mooy sama Doom ji ma bëgg; ci moom laa ame bànneex.»
"Alors Jésus fut emmené par l`Esprit dans le désert, pour être tenté par le diable.","Bi loolu amee Xelum Yàlla yóbbu Yeesu ca màndiŋ ma, ngir mu jànkoonte ak fiiri Seytaane."
"Après avoir jeûné quarante jours et quarante nuits, il eut faim.","Yeesu nekk fa te lekkul ñeent-fukki bëccëg ak ñeent-fukki guddi, door a xiif."
"Le tentateur, s`étant approché, lui dit: Si tu es Fils de Dieu, ordonne que ces pierres deviennent des pains.","Noonu fiirkat bi ñëw ci moom ne ko: «Boo dee Doomu Yàlla, santal doj yii, ñu nekk mburu.»"
"Jésus répondit: Il est écrit: L`homme ne vivra pas de pain seulement, mais de toute parole qui sort de la bouche de Dieu.","Waaye Yeesu tontu ko ne: «Mbind mi nee na: “Nit du dunde mburu rekk, waaye itam gépp kàddu gu génne ci gémmiñug Yàlla.”»"
"Le diable le transporta dans la ville sainte, le plaça sur le haut du temple,","Bi mu waxee loolu, Seytaane yóbbu ko ca dëkk bu sell ba, teg ko ca njobbaxtalu kër Yàlla ga."
"et lui dit: Si tu es Fils de Dieu, jette-toi en bas; car il est écrit: Il donnera des ordres à ses anges à ton sujet; Et ils te porteront sur les mains, De peur que ton pied ne heurte contre une pierre.","Mu ne ko: «Boo dee Doomu Yàlla, tëbal ci suuf, ndaxte Mbind mi nee na:“Dina jox ay malaakaam ndigal ci sa mbir,ñu leewu la ci seeni loxo,ngir nga bañ a fakkastalu ciw doj.”»"
"Jésus lui dit: Il est aussi écrit: Tu ne tenteras point le Seigneur, ton Dieu.","Yeesu tontu ko: «Bind nañu it ne: “Bul diiŋat Yàlla, sa Boroom.”»"
"Le diable le transporta encore sur une montagne très élevée, lui montra tous les royaumes du monde et leur gloire,","Gannaaw loolu Seytaane yóbbu ko ci kaw tund wu kawe lool, won ko réewi àddina yépp ak seeni ndam."
"et lui dit: Je te donnerai toutes ces choses, si tu te prosternes et m`adores.","Mu ne ko: «Lii lépp dinaa la ko may, boo sukkee màggal ma.»"
"Jésus lui dit: Retire-toi, Satan! Car il est écrit: Tu adoreras le Seigneur, ton Dieu, et tu le serviras lui seul.","Waaye Yeesu tontu ko: «Sore ma Seytaane, ndaxte Mbind mi nee na: “Nanga màggal Yàlla sa Boroom, te jaamu ko moom rekk.”»"
"Alors le diable le laissa. Et voici, des anges vinrent auprès de Jésus, et le servaient.","Noonu Seytaane bàyyi ko. Te ay malaaka daldi ñëw fi Yeesu, di ko topptoo."
"Jésus, ayant appris que Jean avait été livré, se retira dans la Galilée.","Am bés Yeesu dégg ne, jàpp nañu Yaxya; mu jóg nag, jëm Galile."
"Il quitta Nazareth, et vint demeurer à Capernaüm, située près de la mer, dans le territoire de Zabulon et de Nephthali,","Gannaaw gi, mu toxoo dëkku Nasaret, dem dëkk Kapernawum, bi féeteek dex ga ci diiwaani Sabulon ak Neftali."
"afin que s`accomplît ce qui avait été annoncé par Ésaïe, le prophète:","Noonu am la ñu waxoon, jaarale ko ci yonent Yàlla Esayi, bi mu naan:"
"Le peuple de Zabulon et de Nephthali, De la contrée voisine de la mer, du pays au delà du Jourdain, Et de la Galilée des Gentils,","«Yaw réewum Sabulon ak réewum Neftali,di yoonu géej gannaaw dexu Yurdan,yaw Galile, réewum ñi dul Yawut —"
"Ce peuple, assis dans les ténèbres, A vu une grande lumière; Et sur ceux qui étaient assis dans la région et l`ombre de la mort La lumière s`est levée.","xeet wa nekkoon cig lëndëm,gis na leer gu mag,ña dëkkoon ca réew, ma dee tiim,leer fenkal na leen.»"
"Dès ce moment Jésus commença à prêcher, et à dire: Repentez-vous, car le royaume des cieux est proche.","Booba Yeesu tàmbali di waare naan: «Tuubleen seeni bàkkaar, ndaxte nguuru Yàlla Aji Kawe ji jegesi na.»"
"Comme il marchait le long de la mer de Galilée, il vit deux frères, Simon, appelé Pierre, et André, son frère, qui jetaient un filet dans la mer; car ils étaient pêcheurs.","Gannaaw loolu Yeesu doon dox ca tefesu dexu Galile, mu gis fa ñaar ñu bokk ndey ak baay, mooy Simoŋ mi ñuy wax Piyeer, ak Andare. Fekk ñuy sànni seen caax ca dex ga, ndaxte ay nappkat lañu woon."
"Il leur dit: Suivez-moi, et je vous ferai pêcheurs d`hommes.","Yeesu ne leen: «Ñëwleen topp ci man, ma def leen nappkati nit.»"
"Aussitôt, ils laissèrent les filets, et le suivirent.","Ca saa sa ñu daldi bàyyi seeni mbaal, topp ci moom."
"De là étant allé plus loin, il vit deux autres frères, Jacques, fils de Zébédée, et Jean, son frère, qui étaient dans une barque avec Zébédée, leur père, et qui réparaient leurs filets.","Ba Yeesu demee ba ca kanam, mu gis yeneen ñaar ñu bokk ndey ak baay, ñuy Saag doomu Sebede, ak Yowaana rakkam. Ñu nekk ci seen biir gaal ak Sebede seen baay, di defar seeni mbaal. Noonu Yeesu woo leen."
"Il les appela, et aussitôt ils laissèrent la barque et leur père, et le suivirent.","Ca saa sa ñu daldi bàyyi gaal ga ak seen baay, topp ci moom."
"Jésus parcourait toute la Galilée, enseignant dans les synagogues, prêchant la bonne nouvelle du royaume, et guérissant toute maladie et toute infirmité parmi le peuple.","Ba loolu amee Yeesu doon wër Galile gépp, di jàngale ci seeni jàngu tey yégle xebaar bu baax bi ci nguuru Yàlla; muy faj jàngoro yépp ak wéradi yépp ca nit ña,"
"Sa renommée se répandit dans toute la Syrie, et on lui amenait tous ceux qui souffraient de maladies et de douleurs de divers genres, des démoniaques, des lunatiques, des paralytiques; et il les guérissait.","ba tax turam siiw ba ci biir réewu Siri mépp. Ñu di ko indil ñi wopp ñépp, ñi sonn ndax ay jàngoro ak metit yu bare, ñi rab jàpp, ñiy say ak ñi làggi, mu faj leen."
"Une grande foule le suivit, de la Galilée, de la Décapole, de Jérusalem, de la Judée, et d`au delà du Jourdain.","Noonu mbooloo mu bare topp ci moom, jóge ci wàlli Galile ak diiwaan bi ñuy wax Fukki dëkk yi, ci dëkku Yerusalem ak ci diiwaanu Yude, ba ci gannaaw dexu Yurdan.."
"Voyant la foule, Jésus monta sur la montagne; et, après qu`il se fut assis, ses disciples s`approchèrent de lui.","Bi Yeesu gisee mbooloo ma nag, mu yéeg ca tund wa, toog; taalibeem ya ñëw ci moom."
"Puis, ayant ouvert la bouche, il les enseigna, et dit:",Mu daldi leen jàngal naan:
"Heureux les pauvres en esprit, car le royaume des cieux est à eux!","«Yéen ñi xam seen ñàkk doole ngir neex Yàlla,barkeel ngeen,ndaxte nguuru Yàlla Aji Kawe ji,yéena ko yelloo."
"Heureux les affligés, car ils seront consolés!","Yéen ñi nekk ci naqar, barkeel ngeen,ndax dees na dëfël seen xol."
"Heureux les débonnaires, car ils hériteront la terre!","Yéen ñi lewet, barkeel ngeen,ndax dingeen moomi àddina."
"Heureux ceux qui ont faim et soif de la justice, car ils seront rassasiés!","Yéen ñi xiif te mar njub, barkeel ngeen,ndax dingeen regg."
"Heureux les miséricordieux, car ils obtiendront miséricorde!","Yéen ñi am yërmande, barkeel ngeen,ndax dees na leen yërëm."
"Heureux ceux qui ont le coeur pur, car ils verront Dieu!","Yéen ñi am xol bu sell, barkeel ngeen,ndax dingeen gis Yàlla."
"Heureux ceux qui procurent la paix, car ils seront appelés fils de Dieu!","Yéen ñiy wut jàmm, barkeel ngeen,ndax dees na leen tudde doomi Yàlla."
"Heureux ceux qui sont persécutés pour la justice, car le royaume des cieux est à eux!","Yéen ñi ñu fitnaal ndax seen njub,barkeel ngeen,ndaxte nguuru Yàlla Aji Kawe ji,yéena ko yelloo."
"Heureux serez-vous, lorsqu`on vous outragera, qu`on vous persécutera et qu`on dira faussement de vous toute sorte de mal, à cause de moi.","«Barkeel ngeen, bu ñu leen di saaga, di leen fitnaal, di leen sosal lépp lu bon ngir man."
"Réjouissez-vous et soyez dans l`allégresse, parce que votre récompense sera grande dans les cieux; car c`est ainsi qu`on a persécuté les prophètes qui ont été avant vous.","Bégleen te bànneexu, ndax seen yool dina réy ci laaxira. Ndaxte noonu lañu daan fitnaale yonent yi fi jiitu."
"Vous êtes le sel de la terre. Mais si le sel perd sa saveur, avec quoi la lui rendra-t-on? Il ne sert plus qu`à être jeté dehors, et foulé aux pieds par les hommes.","«Yéena di xoromus àddina. Bu xorom si sàppee, nan lañu koy delloo cafkaam? Du jariñati dara, lu dul ñu sànni ko ci biti, nit ñi dox ci kawam."
Vous êtes la lumière du monde. Une ville située sur une montagne ne peut être cachée;,"Yéena di leeru àddina. Dëkk, bu nekk ci kaw tund du man a nëbbu."
"et on n`allume pas une lampe pour la mettre sous le boisseau, mais on la met sur le chandelier, et elle éclaire tous ceux qui sont dans la maison.","Te it duñu taal làmp, dëpp cig leget, waaye dañu koy wékk, ba muy leeral ñi nekk ci kër gi ñépp."
"Que votre lumière luise ainsi devant les hommes, afin qu`ils voient vos bonnes oeuvres, et qu`ils glorifient votre Père qui est dans les cieux.","Na seen leer leere noonu ci kanamu nit ñi, ngir ñu gis seeni jëf yu rafet, te màggal seen Baay bi ci kaw."
"Ne croyez pas que je sois venu pour abolir la loi ou les prophètes; je suis venu non pour abolir, mais pour accomplir.","«Buleen defe ne, ñëw naa ngir dindi yoonu Musaa ak waxi yonent yi. Ñëwuma ngir dindi leen, waaye ngir ñu am ci man."
"Car, je vous le dis en vérité, tant que le ciel et la terre ne passeront point, il ne disparaîtra pas de la loi un seul iota ou un seul trait de lettre, jusqu`à ce que tout soit arrivé.","Ndaxte ci dëgg maa ngi leen koy wax, li feek asamaan ak suuf wéyul, benn tomb walla benn rëddu araf du wéy mukk ci yoonu Musaa, ba kera yépp di am."
"Celui donc qui supprimera l`un de ces plus petits commandements, et qui enseignera aux hommes à faire de même, sera appelé le plus petit dans le royaume des cieux; mais celui qui les observera, et qui enseignera à les observer, celui-là sera appelé grand dans le royaume des cieux.","Ku tebbi nag ba gën a tuuti ci ndigal yii, te ngay jàngal nit ñi noonu, dees na la tudde ki gën a tuuti ci nguuru Yàlla Aji Kawe ji. Waaye ku leen di sàmm, di leen digle, dees na la tudde ku mag ci nguuru Yàlla Aji Kawe ji."
"Car, je vous le dis, si votre justice ne surpasse celle des scribes et des pharisiens, vous n`entrerez point dans le royaume des cieux.","Ndaxte maa ngi leen koy wax, bu seen njubte ëppul njubteg xutbakat ya ak Farisen ya, dungeen tàbbi mukk ci nguuru Yàlla Aji Kawe ji."
Vous avez entendu qu`il a été dit aux anciens: Tu ne tueras point; celui qui tuera mérite d`être puni par les juges.,"«Dégg ngeen ne, waxoon nañu maam ya ne leen: “Bul rey nit; ku rey nit, yoon dina la dab.”"
"Mais moi, je vous dis que quiconque se met en colère contre son frère mérite d`être puni par les juges; que celui qui dira à son frère: Raca! mérite d`être puni par le sanhédrin; et que celui qui lui dira: Insensé! mérite d`être puni par le feu de la géhenne.","Waaye man maa ngi leen di wax ne, képp ku mere sa mbokk, dinañu la àtte. Ku wax sa mbokk: “Amoo bopp,” dinañu la àtte ca kureelu àttekat ya. Ku ko wax: “Alku nga,” dinañu la àtte ci safara."
"Si donc tu présentes ton offrande à l`autel, et que là tu te souviennes que ton frère a quelque chose contre toi,","Booy yóbbu nag sa sarax ca saraxalukaay ba, te nga fàttaliku foofa ne, sa mbokk am na lu mu la meree,"
"laisse là ton offrande devant l`autel, et va d`abord te réconcilier avec ton frère; puis, viens présenter ton offrande.","nanga fa bàyyi sa sarax ca kanamu saraxalukaay ba, nga jëkk a dem, juboo ak sa mbokk, ba noppi dellu, joxe sa sarax."
"Accorde-toi promptement avec ton adversaire, pendant que tu es en chemin avec lui, de peur qu`il ne te livre au juge, que le juge ne te livre à l`officier de justice, et que tu ne sois mis en prison.","«Gaawal a juboo ak ki lay yóbbu, ngeen layooji, bala ngeen a egg; ngir bañ ki ngay layool jébbal la àttekat ba, kooka jox la alkaati ba, ñu tëj la."
"Je te le dis en vérité, tu ne sortiras pas de là que tu n`aies payé le dernier quadrant.","Ci dëgg maa ngi la koy wax, doo génn foofa mukk te feyuloo dërëm bi ci mujj."
Vous avez appris qu`il a été dit: Tu ne commettras point d`adultère.,«Te it dégg ngeen ne waxoon nañu: “Bul njaaloo.”
